Usuario,Caso,Marcador,Tarjeta,Fecha y hora de transacci—n,Monto,Comercio,Modo de Entrada,Ind Com Elec
999bgsa,162255099,NF,1234567890112138,01/11/21 12:12 PM,10.47,AME*RAPPI I,E,7
999bgsa,162255099,NF,1234567890112139,01/11/21 12:13 PM,3022,AME*PEIMI SAPI,E,7
999bgsa,162255209,NF,1234567890112140,01/11/21 12:15 PM,20,MICROSOFT VERIFICA TAR,E,7
999bgsa,162255209,NF,1234567890112141,01/11/21 12:16 PM,485,PR*MICROSOFT,K,
999bgsa,162254703,NF,1234567890112142,01/11/21 12:02 PM,2114.97,GOOGLE *GSUITE_estudio,E,7
999bgsa,162254681,NF,1234567890112155,01/11/21 12:01 PM,150,VS TELCEL 018001200006,E,7
999bgsa,162254681,NF,1234567890112158,01/11/21 12:01 PM,5,VS TELCEL 018001200006,E,7
999bgsa,162254681,NF,1234567890112134,01/11/21 12:27 PM,811.5,ECOMMERCE SAN PABLO,E,7
999bgsa,162254853,UNF,1234567890112130,01/11/21 12:06 PM,0,APPLE.COM/BILL,E,7
999bgsa,162254853,UNF,1234567890112135,01/11/21 12:06 PM,0,APPLE.COM/BILL,E,7
999bgsa,162255089,NF,1234567890112136,01/11/21 12:12 PM,5080.91,EXPEDIA 72190322031211,E,7
999bgsa,162255089,NF,1234567890112137,01/11/21 12:14 PM,5196.61,EXPEDIA 72190322918887,E,7
999bgsa,162255133,NF,1234567890112138,01/11/21 12:13 PM,20,GOOGLE *TEMPORARY HOLD,E,7
999bgsa,162255157,NF,1234567890112137,01/11/21 12:13 PM,733,TELEVIA RECARGA,E,6
999bgsa,162255249,NF,1234567890112138,01/11/21 12:16 PM,19.19,AME*RAPPI I,E,7
999bgsa,162255249,NF,1234567890112139,01/11/21 12:17 PM,2645,ST*RAPPI,K,0
999bgsa,162255249,NF,1234567890112140,01/11/21 12:18 PM,2655,ST*RAPPI,K,0
999bgsa,162255249,NF,1234567890112141,01/11/21 12:18 PM,2655,ST*RAPPI,K,0
999bgsa,162256989,NF,1234567890112142,01/11/21 01:00 PM,20,MERCADO PAGO 5,E,7
999bgsa,162256989,NF,1234567890112155,01/11/21 01:09 PM,36.5,MERCADO PAGO 5,E,7
999bgsa,162256989,NF,1234567890112137,01/11/21 01:11 PM,20.5,MERCADO PAGO 5,E,7
